"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.95751,0,0,0,0.0017796,0.00090759,-3.3106e-05
0.95492,0,0,0,0.0017798,0.00090481,-3.3106e-05
0.95492,0,0,0,0.0017798,0.00090481,3.3106e-05
1.0022,0,0,0,0.00162,0.00069798,3.3106e-05
1.0022,0,0,0,0.00162,0.00069798,-3.3106e-05
1.001,0,0,0,0.00162,0.00070078,-3.3106e-05
1.001,0,0,0,0.00162,0.00070078,3.3106e-05
0.98964,0,0,0,0.0017417,0.0010318,3.3106e-05
0.9898,0,0,0,0.0017441,0.0010333,3.3106e-05
0.9898,0,0,0,0.0017441,0.0010333,-3.3106e-05
0.98964,0,0,0,0.0017417,0.0010318,-3.3106e-05
0.99604,0,0,0,0.0017464,0.0010348,3.3106e-05
0.99604,0,0,0,0.0017464,0.0010348,-3.3106e-05
0.9728,0,0,0,0.0017791,0.0010881,3.3106e-05
0.9728,0,0,0,0.0017791,0.0010881,-3.3106e-05
0.97678,0,0,0,0.0017786,0.0010853,-3.3106e-05
0.97678,0,0,0,0.0017786,0.0010853,3.3106e-05
0.96888,0,0,0,0.0017795,0.0010909,3.3106e-05
0.96888,0,0,0,0.0017795,0.0010909,-3.3106e-05
0.99379,0,0,0,0.0017228,0.0011767,3.3106e-05
0.99379,0,0,0,0.0017228,0.0011767,-3.3106e-05
0.99265,0,0,0,0.0017255,0.0011758,-3.3106e-05
